id_cliente,nombre_cliente,edad,genero,pais,ciudad,segmento,nivel_satisfaccion,ingresos_mensuales,compras_ultimos_6m,monto_total_compras,fecha_registro,canal_preferido,reclamos_ultimos_6m,tiempo_entrega_dias,estado_cliente,score_riesgo,email,telefono
C0001,Natalia Vargas,43.0,Masculino,El Salvador,San José,Bronce,Muy alto,501099.0,8.0,164519.0,2024-04-04,WhatsApp,2.0,5.8,Bloqueado,688.0,nataliavargas@correo.com,61849593
C0002,Adriana Torres,57.0,Masculino,Nicaragua,Puntarenas,Oro,Bajo,938129.0,7.0,277828.0,2026-02-25,Email,0.0,4.6,activo,377.0,adrianatorres@correo.com,53767242
C0003,Pablo Monge,19.0,Femenino,Guatemala,Alajuela,Oro,Muy alto,956439.0,10.0,0.0,2025-07-03,Llamada,0.0,3.2,Activo,252.0,pablomonge@correo.com,82814893
C0004,Emilio Aguilar,28.0,Femenino,Panamá,Cartago,Desconocido,Medio,490545.0,8.0,138229.0,2024-07-24,WhatsApp,7.0,5.5,Bloqueado,561.0,emilioaguilar@correo.com,50983930
C0005,María Mora,36.0,Masculino,Guatemala,Desconocido,Premium,Medio,338284.0,6.0,151309.0,2026-03-30,Llamada,0.0,5.8,Desconocido,417.0,mariamora@correo.com,78108013
C0006,Valeria Solís,34.0,Masculino,Nicaragua,Desconocido,Premium,Bajo,818103.0,6.0,215033.0,2024-07-09,WhatsApp,1.0,3.5,Bloqueado,784.0,valeriasolis@correo.com,91699854
C0007,Camila Solís,45.0,Femenino,Costa Rica,Managua,Oro,Muy bajo,751940.0,13.0,151309.0,2024-04-16,Llamada,3.0,4.6,activo,419.0,camilasolis@correo.com,Desconocido
C0008,José Navarro,34.0,Femenino,Guatemala,Puntarenas,Bronce,Bajo,818103.0,6.0,67550.0,2024-06-15,Llamada,0.0,6.4,ACTIVO,808.0,josenavarro@correo.com,34216073
C0009,Andrés Hernández,36.0,Masculino,Costa Rica,Liberia,Oro,Bajo,1256679.0,15.0,235154.0,2025-06-07,App,1.0,3.7,activo,251.0,andreshernandez@correo.com,35615951
C0010,Sebastián Cordero,25.0,Masculino,Nicaragua,Heredia,Bronce,Medio,744996.0,14.0,375421.0,2024-06-22,Email,1.0,7.1,Desconocido,741.0,sebastiancordero@correo.com,33200379
C0011,Jorge Monge,40.0,Femenino,Costa Rica,Alajuela,Desconocido,Alto,499455.0,15.0,365883.0,2025-12-03,WhatsApp,0.0,2.5,Inactivo,701.0,jorgemonge@correo.com,87347143
C0012,Sofía Soto,36.0,Femenino,Nicaragua,Ciudad de Guatemala,Premium,Bajo,532738.0,15.0,356762.0,2024-08-12,Email,0.0,2.2,Pendiente,493.0,sofiasoto@correo.com,29806990
C0013,Esteban Navarro,37.0,Femenino,Panamá,Antigua,Bronce,Bajo,1439534.0,11.0,271681.0,2025-11-16,Email,0.0,5.2,inactivo,351.0,estebannavarro@correo.com,12419049
C0014,Mónica Jiménez,50.0,Femenino,Panamá,Managua,Premium,Bajo,853401.0,11.0,430735.0,2025-03-21,Desconocido,4.0,4.1,inactivo,573.0,monicajimenez@correo.com,94531473
C0015,Lucía Rojas,23.0,Masculino,Panamá,Managua,Plata,Medio,720432.0,8.0,176449.0,2024-09-06,Email,0.0,4.9,Pendiente,848.0,luciarojas@correo.com,74443135
C0016,Valeria Jiménez,33.0,Masculino,El Salvador,Alajuela,Plata,Medio,971052.0,3.0,102046.0,2024-07-07,Desconocido,2.0,2.8,Bloqueado,545.0,valeriajimenez@correo.com,22941318
C0017,Adriana Pérez,18.0,Desconocido,Nicaragua,Managua,Premium,Alto,981585.0,15.0,290881.0,2024-10-16,Llamada,0.0,2.6,activo,725.0,adrianaperez@correo.com,36183242
C0018,Emilio Monge,45.0,Masculino,Nicaragua,Ciudad de Panamá,Bronce,Alto,920057.0,5.0,110383.0,2025-08-13,WhatsApp,0.0,4.6,inactivo,417.0,emiliomonge@correo.com,71756551
C0019,Mónica Salazar,27.0,Desconocido,Nicaragua,Puntarenas,Bronce,Muy alto,780402.0,19.0,464845.0,2025-03-24,App,0.0,3.4,inactivo,676.0,nan,13171274
C0020,Jimena Salazar,42.0,Masculino,El Salvador,Heredia,Premium,Alto,1196672.0,7.0,124416.0,2025-07-19,Llamada,3.0,4.9,ACTIVO,393.0,jimenasalazar@correo.com,60576627
C0021,Esteban Vargas,43.0,Femenino,Guatemala,San Salvador,Oro,Muy alto,1849323.0,4.0,67498.0,2024-06-02,WhatsApp,1.0,7.9,inactivo,698.0,estebanvargas@correo.com,17240050
C0022,Sofía Hernández,18.0,Femenino,Costa Rica,Antigua,Plata,Alto,771674.0,6.0,119245.0,2024-02-11,Desconocido,1.0,4.6,Activo,850.0,sofiahernandez@correo.com,69594406
C0023,Alonso Alvarado,33.0,Masculino,Guatemala,Puntarenas,Plata,Bajo,650968.0,0.0,18896.0,2025-07-06,Email,3.0,8.1,Activo,745.0,alonsoalvarado@correo.com,Desconocido
